Model - coskel-transunet-sa-v53-54,F0,F1,F2,F3,F4,F5,JS
epoch_1.pth,0.27303,0.53208,0.63683,0.69905,0.74754,0.77153,0.15977
epoch_3.pth,0.29207,0.54007,0.63722,0.69935,0.74789,0.77181,0.17293
epoch_5.pth,0.29452,0.54675,0.64099,0.69796,0.7441,0.768,0.1747
epoch_7.pth,0.29318,0.54557,0.63988,0.6943,0.73547,0.75735,0.17403
epoch_9.pth,0.27511,0.51934,0.6109,0.66668,0.71248,0.73363,0.16144
epoch_11.pth,0.27403,0.50803,0.59609,0.6489,0.69615,0.71689,0.16051
epoch_13.pth,0.28035,0.51156,0.594,0.64379,0.68904,0.70884,0.16527
epoch_15.pth,0.28063,0.50245,0.58435,0.63405,0.67558,0.6953,0.1653
epoch_17.pth,0.2791,0.50931,0.59426,0.64581,0.68923,0.70916,0.16405
epoch_19.pth,0.28245,0.50527,0.58705,0.63726,0.67915,0.69839,0.16639
epoch_21.pth,0.27336,0.48928,0.56855,0.61722,0.65845,0.67885,0.1607
