Model - tnet-sa-b4-alph5-cl2-gamma0-2-v57-58,F0,F1,F2,F3,F4,F5,JS
epoch_1.pth,0.26788 ,0.51971 ,0.62361 ,0.68939 ,0.74138 ,0.76438 ,0.15581 
epoch_3.pth,0.26422 ,0.50819 ,0.60533 ,0.66890 ,0.71656 ,0.73932 ,0.15384 
epoch_5.pth,0.28537 ,0.54235 ,0.64672 ,0.70715 ,0.75559 ,0.77745 ,0.16783 
epoch_7.pth,0.11839 ,0.20093 ,0.24243 ,0.27599 ,0.31276 ,0.33143 ,0.06365 
epoch_9.pth,0.21260 ,0.39050 ,0.46354 ,0.51054 ,0.55146 ,0.57201 ,0.11998 
epoch_11.pth,0.26187 ,0.50516 ,0.60878 ,0.67227 ,0.72413 ,0.74549 ,0.15172 
epoch_13.pth,0.25603 ,0.49841 ,0.59959 ,0.66300 ,0.71565 ,0.73862 ,0.14787 
epoch_15.pth,0.27665 ,0.52955 ,0.63360 ,0.69827 ,0.74812 ,0.77119 ,0.16207 
epoch_17.pth,0.18832 ,0.34454 ,0.41198 ,0.45519 ,0.49268 ,0.51240 ,0.10494 
epoch_19.pth,0.24549 ,0.48100 ,0.58348 ,0.64786 ,0.70069 ,0.72405 ,0.14119 
epoch_21.pth,0.02830 ,0.04997 ,0.06149 ,0.07194 ,0.08476 ,0.09250 ,0.01481 
epoch_23.pth,0.22061 ,0.40180 ,0.47538 ,0.52191 ,0.56088 ,0.57897 ,0.12507 
epoch_25.pth,0.25149 ,0.47075 ,0.56058 ,0.61584 ,0.66139 ,0.68156 ,0.14483 
epoch_27.pth,0.27088 ,0.51582 ,0.61610 ,0.67993 ,0.73214 ,0.75458 ,0.15810 
epoch_29.pth,0.28655 ,0.54904 ,0.65072 ,0.71155 ,0.75952 ,0.78098 ,0.16882 
epoch_31.pth,0.27706 ,0.53518 ,0.63965 ,0.70371 ,0.75515 ,0.77878 ,0.16275 
